taxon_concept_id,start_regulation_name,country_name,start_date,opinion_name,term_code,source_code,is_current,notes,internal_notes,nomenclature_note_en,nomenclature_note_es,nomenclature_note_fr
11042,SRG 88,Mauritius,2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Micronesia (Federated States of),2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Myanmar,2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Northern Mariana Islands,2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Oman,2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Palau,2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Papua New Guinea,2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Philippines,2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Samoa,2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Seychelles,2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Singapore,2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Solomon Islands,2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Sri Lanka,2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,"Taiwan, Province of China",2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Thailand,2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Vanuatu,2019-12-12,i) removed,LIV,W,FALSE,,,,,
11042,SRG 88,Viet Nam,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,American Samoa,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,British Indian Ocean Territory (United Kingdom),2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Djibouti,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Egypt,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Guam,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,India,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Israel,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Japan,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Kenya,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Kiribati,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Madagascar,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Malaysia,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Maldives,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Mauritius,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,New Caledonia,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Northern Mariana Islands,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Papua New Guinea,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Philippines,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Saudi Arabia,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Solomon Islands,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Sudan,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,"Taiwan, Province of China",2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Thailand,2019-12-12,i) removed,LIV,W,FALSE,,,,,
