ComName,LangShort,RecId,Rank,Designation,ReferenceID
Rybák bengálský,CES,20801,species,CMS,
Rybák velkozobý,CES,20803,species,"EU,CMS",
Rybák rajský,CES,20804,species,"EU,CMS",
Rybák obecný,CES,20808,species,"EU,CMS",
Rybák dlouhoocasý,CES,20811,species,"EU,CMS",
Rybák severní,CES,20812,species,"EU,CMS",
Puštík obecný,CES,20895,species,"CITES,EU",
Puštík vousatý,CES,20902,species,"CITES,EU",
Sovice krahujová,CES,21169,species,"CITES,EU",
Potápka malá,CES,21279,species,"EU,CMS-AEWA",
Tadarida evropská,CES,21311,species,CMS,
Husice rezavá,CES,21321,species,"EU,CMS",
Modruška lesní,CES,21485,species,CMS,
Velekur kaspický,CES,21673,species,"CITES,EU",
Drop malý,CES,21677,species,"CITES,EU",
Vodouš tmavý,CES,22180,species,"EU,CMS",
Vodouš bahenní,CES,22182,species,"EU,CMS",
Vodouš šedý,CES,22187,species,"EU,CMS",
Vodouš kropenatý,CES,22188,species,"EU,CMS",
Vodouš štíhlý,CES,22190,species,"EU,CMS",
Vodouš rudonohý,CES,22191,species,CMS,
Drozd tmavohrdlý,CES,22526,species,CMS,
Kos horský,CES,22528,species,CMS,
Perepel evropský,CES,22556,species,EU,
Sova pálená,CES,22710,species,"CITES,EU",
Dudek chocholatý,CES,22768,species,EU,
Alkoun úzkozobý,CES,22774,species,CMS-AEWA,
Alkoun tlustozobý,CES,22775,species,CMS-AEWA,
Netopýr pestrý,CES,22947,species,CMS,
Liška obecná,CES,23062,species,"CITES,EU",
Drozd pestrý,CES,23231,species,CMS,
Kuna skalní,CES,29672,species,"CITES,EU",
Hranostaj,CES,29674,species,"CITES,EU",
Jelen lesní,CES,29740,species,"CITES,EU",
Bekasina asijská,CES,29918,species,CMS,
Hýl velký,CES,29927,species,"CITES,EU",
Axis indický,CES,30194,species,"CITES,EU",
Sika,CES,30196,species,"CITES,EU",
Veverka popelavá,CES,30223,species,EU,
Uhor ricni,CES,30324,species,"CITES,EU",
Uhor rícní,CES,30324,species,"CITES,EU",
Kachnice kaštanová,CES,30783,species,"EU,CMS",
Hýl Azorský,CES,41518,species,"CITES,EU",
Llsywen,CYM,30324,species,"CITES,EU",7295
Shikra,DAN,89,species,"CITES,EU",
Balkanhøg,DAN,92,species,"CITES,EU",6234
Kortløbet spurvehøg,DAN,92,species,"CITES,EU",
Duehøg,DAN,104,species,"CITES,EU",
Spurvehøg,DAN,119,species,"CITES,EU",
"gepard, cheetah eller jagtleopard",DAN,219,species,"CITES,EU",
Kortnæset stør,DAN,222,species,"CITES,EU",
Adriatisk stør,DAN,224,species,"CITES,EU",
Sterlet,DAN,227,species,"CITES,EU",7295
Almindelig stør,DAN,230,species,"CITES,EU",
Haastor,DAN,230,species,"CITES,EU",7295
Selstor,DAN,230,species,"CITES,EU",7295
Stør,DAN,230,species,"CITES,EU",7295
Store,DAN,230,species,"CITES,EU",7295
Lille Rørsanger,DAN,289,species,CMS,
Drosselrørsanger,DAN,290,species,"EU,CMS",
Buskrørsanger,DAN,291,species,CMS,
Tamarisksanger,DAN,293,species,"EU,CMS",
Sarakerttunen,DAN,294,species,"EU,CMS",
Vandsanger,DAN,294,species,"EU,CMS",
Kærsanger,DAN,295,species,"EU,CMS",
Sivsanger,DAN,297,species,"EU,CMS",
Rørsanger,DAN,298,species,"EU,CMS",
addax eller mendesantilope,DAN,512,species,"CITES,EU",
Halemejse,DAN,532,species,EU,
Perleugle,DAN,536,species,"CITES,EU",
Munkegrib,DAN,544,species,"CITES,EU",
Rødhoved dværgpapegøje,DAN,664,species,"CITES,EU",
Hvidbrystet kalkunperlehøne,DAN,681,species,"CITES,EU",6234
Meksikansk mokkasin eller cantil,DAN,682,species,"CITES,EU",
paca,DAN,699,species,"CITES,EU",
påfuglefasan,DAN,702,species,"CITES,EU",6234
Stor panda,DAN,712,species,"CITES,EU",
Rød panda,DAN,714,species,"CITES,EU",
Mandarinand,DAN,720,species,CMS,
Alk,DAN,791,species,"EU,CMS-AEWA",
Istugl,DAN,794,species,EU,
Chukarhøne,DAN,827,species,EU,
Søkonge,DAN,864,species,"EU,CMS-AEWA",
Kinesisk alligator,DAN,867,species,"CITES,EU",
ægyptisk gås eller nilgås,DAN,901,species,"CITES,EU",6234
kappebrøleabe,DAN,911,species,"CITES,EU",
Båndfinke,DAN,981,species,"CITES,EU",6234
Guldbrystet astrild,DAN,983,species,"CITES,EU",6234
Blåhovedet amazone,DAN,1045,species,"CITES,EU",6234
Guldskuldret eller Rotschilds amazone,DAN,1048,species,"CITES,EU",6234
Purpurblåkindet amazone,DAN,1049,species,"CITES,EU",6234
Kongeamazone eller Guildings amazone,DAN,1055,species,"CITES,EU",6234
Kejseramazone,DAN,1056,species,"CITES,EU",6234
Cubaamazone,DAN,1058,species,"CITES,EU",6234
Pragtamazone eller Petreis amazone,DAN,1062,species,"CITES,EU",6234
Rødisset amazone,DAN,1063,species,"CITES,EU",6234
Tucuman-amazone,DAN,1064,species,"CITES,EU",6234
Mangefarvet eller St. Lucia-amazone,DAN,1066,species,"CITES,EU",6234
Vinrød amazone,DAN,1067,species,"CITES,EU",6234
Grønkindet amazone,DAN,1068,species,"CITES,EU",6234
Rødpandet Puerto Rico amazone,DAN,1069,species,"CITES,EU",6234
Havleguan,DAN,1086,species,"CITES,EU",
Axolotl,DAN,1095,species,"CITES,EU",
mankefår,DAN,1151,species,"CITES,EU",
Spidsand,DAN,1219,species,"CITES,EU",6234
Amerikansk Pibeand,DAN,1220,species,CMS,
Auckland-and eller brun krikand,DAN,1221,species,"CITES,EU",6234
Madagascar krikand,DAN,1222,species,"CITES,EU",6234
Kap-and,DAN,1223,species,"CITES,EU",6234
Skeand,DAN,1224,species,"CITES,EU",
Krikand,DAN,1225,species,"CITES,EU",
Blåvinget And,DAN,1227,species,CMS,
Sibirisk Krikand,DAN,1228,species,"CITES,EU",
Laysan-and,DAN,1229,species,"CITES,EU",6234
Oustalets and,DAN,1230,species,"CITES,EU",6234
Pibeand,DAN,1231,species,"CITES,EU",
Gråand,DAN,1232,species,"EU,CMS",
Atlingand,DAN,1233,species,"CITES,EU",
Sortbrun And,DAN,1234,species,CMS,
Knarand,DAN,1235,species,"EU,CMS",
Blisgås,DAN,1571,species,"EU,CMS",
